user_id,user_gender,user_age,buy_count,cheese_texture,cheese_one_price,age_group,cheese_category_code,cheese_texture_code
4746952,1,30,1,후레쉬치즈,"14,900원",1.0,11,1
5593698,1,30,20,후레쉬치즈,"14,900원",1.0,11,1
1993301,1,30,2,소프트치즈,"4,165원",1.0,7,4
4984912,0,40,1,후레쉬치즈,"3,870원",2.0,1,1
1690308,1,40,1,후레쉬치즈,"3,870원",2.0,1,1
2234408,1,30,1,세미하드치즈,"6,800원",1.0,9,2
3179908,1,30,1,후레쉬치즈,"4,600원",1.0,3,1
4688479,1,30,1,후레쉬치즈,"3,870원",1.0,1,1
5830792,1,30,1,후레쉬치즈,"3,990원",1.0,1,1
4940573,1,30,1,세미하드치즈,"5,500원",1.0,10,2
5769337,1,30,1,후레쉬치즈,"11,900원",1.0,3,1
4127373,1,50,2,후레쉬치즈,"4,600원",3.0,3,1
5732335,0,20,2,후레쉬치즈,"14,900원",,11,1
1061998,1,40,1,후레쉬치즈,"7,900원",2.0,11,1
4555631,1,40,1,후레쉬치즈,"7,900원",2.0,11,1
2150219,1,30,1,후레쉬치즈,"3,990원",1.0,1,1
5361735,1,40,1,후레쉬치즈,"3,870원",2.0,1,1
3512916,1,30,1,소프트치즈,"4,165원",1.0,8,4
5966173,1,40,1,후레쉬치즈,"7,900원",2.0,11,1
3374252,0,40,1,후레쉬치즈,"4,600원",2.0,1,1
5766102,1,20,1,후레쉬치즈,"3,870원",,1,1
6353905,1,30,1,소프트치즈,"5,130원",1.0,8,4
417311,1,40,1,후레쉬치즈,"15,900원",2.0,1,1
1967083,1,30,1,후레쉬치즈,"3,870원",1.0,1,1
260694,1,40,2,후레쉬치즈,"6,860원",2.0,3,1
4035142,1,30,1,후레쉬치즈,"4,600원",1.0,3,1
2802572,1,40,1,후레쉬치즈,"4,600원",2.0,3,1
2820325,0,20,1,후레쉬치즈,"14,900원",,11,1
